Tick:    1 | PC: 0000 | Act: 0x0080006F | t0:0 a0:0 a1:0
Tick:   77 | PC: 0050 | Act: 0x00030863 | t0:65552 a0:65536 a1:0
Tick:   78 | PC: 0054 | Act: 0x00603073 | t0:65552 a0:65536 a1:0
Tick:   79 | PC: 0058 | Act: 0x00428293 | t0:65556 a0:65536 a1:0
Tick:   80 | PC: 005C | Act: 0xFF1FF06F | t0:65556 a0:65536 a1:0
Tick:   81 | PC: 004C | Act: 0x0002A303 | t0:65556 a0:65536 a1:0
Tick:   82 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   83 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   84 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   85 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   86 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   87 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   88 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   89 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   90 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   91 | PC: 0050 | Act: STALL      | t0:65556 a0:65536 a1:0
Tick:   92 | PC: 0050 | Act: 0x00030863 | t0:65556 a0:65536 a1:0
Tick:   93 | PC: 0054 | Act: 0x00603073 | t0:65556 a0:65536 a1:0
Tick:   94 | PC: 0058 | Act: 0x00428293 | t0:65560 a0:65536 a1:0
Tick:   95 | PC: 005C | Act: 0xFF1FF06F | t0:65560 a0:65536 a1:0
Tick:   96 | PC: 004C | Act: 0x0002A303 | t0:65560 a0:65536 a1:0
Tick:   97 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:   98 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:   99 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  100 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  101 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  102 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  103 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  104 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  105 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  106 | PC: 0050 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  107 | PC: 0050 | Act: 0x00030863 | t0:65560 a0:65536 a1:0
Tick:  108 | PC: 0060 | Act: 0x00008067 | t0:65560 a0:65536 a1:0
Tick:  109 | PC: 0014 | Act: 0x00100073 | t0:65560 a0:65536 a1:0
Tick:  109 | PC: 0014 | Act: TRAP FIRED! | t0:65560 a0:65536 a1:0
Tick:  110 | PC: 0004 | Act: 0x0600006F | t0:65560 a0:65536 a1:0
Tick:  111 | PC: 0064 | Act: 0x001023F3 | t0:65560 a0:65536 a1:0
Tick:  112 | PC: 0068 | Act: 0x00A00F13 | t0:65560 a0:65536 a1:0
Tick:  113 | PC: 006C | Act: 0x03E38063 | t0:65560 a0:65536 a1:0
Tick:  114 | PC: 0070 | Act: 0x00010E37 | t0:65560 a0:65536 a1:0
Tick:  115 | PC: 0074 | Act: 0x050E0E13 | t0:65560 a0:65536 a1:0
Tick:  116 | PC: 0078 | Act: 0x000E2E83 | t0:65560 a0:65536 a1:0
Tick:  117 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  118 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  119 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  120 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  121 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  122 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  123 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  124 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  125 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  126 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  127 | PC: 007C | Act: 0x007EA023 | t0:65560 a0:65536 a1:0
