Tick:    1 | PC: 0000 | Act: 0x0080006F | t0:0 a0:0 a1:0
Tick:   99 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  100 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  100 | PC: 0018 | Act: TRAP FIRED! | t0:65540 a0:0 a1:0
Tick:  101 | PC: 0004 | Act: 0x06C0006F | t0:65540 a0:0 a1:0
Tick:  102 | PC: 0070 | Act: 0x00102F73 | t0:65540 a0:0 a1:0
Tick:  103 | PC: 0074 | Act: 0x00010FB7 | t0:65540 a0:0 a1:0
Tick:  104 | PC: 0078 | Act: 0x000F8F93 | t0:65540 a0:0 a1:0
Tick:  105 | PC: 007C | Act: 0x000FAE83 | t0:65540 a0:0 a1:0
Tick:  106 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  107 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  108 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  109 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  110 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  111 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  112 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  113 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  114 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  115 | PC: 0080 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  116 | PC: 0080 | Act: 0x01EEA023 | t0:65540 a0:0 a1:0
Tick:  117 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  118 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  119 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  120 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  121 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  122 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  123 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  124 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  125 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  126 | PC: 0084 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  127 | PC: 0084 | Act: 0x004E8E93 | t0:65540 a0:0 a1:0
Tick:  128 | PC: 0088 | Act: 0x01DFA023 | t0:65540 a0:0 a1:0
Tick:  129 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  130 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  131 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  132 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  133 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  134 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  135 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  136 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  137 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  138 | PC: 008C | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  139 | PC: 008C | Act: 0x00010FB7 | t0:65540 a0:0 a1:0
Tick:  140 | PC: 0090 | Act: 0x004F8F93 | t0:65540 a0:0 a1:0
Tick:  141 | PC: 0094 | Act: 0x000FAF03 | t0:65540 a0:0 a1:0
Tick:  142 | PC: 0098 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  143 | PC: 0098 | Act: 0x001F0F13 | t0:65540 a0:0 a1:0
Tick:  144 | PC: 009C | Act: 0x01EFA023 | t0:65540 a0:0 a1:0
Tick:  145 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  146 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  147 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  148 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  149 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  150 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  151 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  152 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  153 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  154 | PC: 00A0 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  155 | PC: 00A0 | Act: 0x30200073 | t0:65540 a0:0 a1:0
Tick:  156 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  157 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  158 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  159 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  160 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  161 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  162 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  163 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  164 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  165 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  166 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  167 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  168 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  169 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  170 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  171 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  172 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  173 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  174 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  175 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  176 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  177 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  178 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  179 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  180 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  181 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  182 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  183 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  184 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  185 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  186 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  187 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  188 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  189 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  190 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  191 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  192 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  193 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  194 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
Tick:  195 | PC: 0014 | Act: 0x0002A303 | t0:65540 a0:0 a1:0
Tick:  196 | PC: 0018 | Act: STALL      | t0:65540 a0:0 a1:0
Tick:  197 | PC: 0018 | Act: 0x00400393 | t0:65540 a0:0 a1:0
Tick:  198 | PC: 001C | Act: 0xFE7318E3 | t0:65540 a0:0 a1:0
Tick:  199 | PC: 000C | Act: 0x000102B7 | t0:65536 a0:0 a1:0
Tick:  200 | PC: 0010 | Act: 0x00428293 | t0:65540 a0:0 a1:0
